College,Year,Fielding_Percentage,Scoring,WL_Percentage,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings
CSUN,2013,0.956,3.18,0.446,,3.05,0.04,0.41,0.341,0.39,,0.79,,0.241,1.16,,
CSUN,2014,0.957,3.74,0.544,,3.19,0.19,0.35,,0.35,,1.21,,0.276,0.84,,
CSUN,2015,0.971,4.9,0.707,,2.42,0.28,0.78,0.462,0.28,,1.45,,0.31,1.28,,
CSUN,2016,0.963,4.21,0.607,,3.24,0.25,0.75,0.425,0.45,,1.64,,0.275,1.21,,
CSUN,2017,0.955,4.94,0.585,,2.92,0.28,0.94,0.47,0.43,,1.36,,0.286,1.42,,
CSUN,2018,0.951,4.15,0.39,,4.14,0.12,0.83,0.411,0.42,,0.76,,0.263,1.14,,
CSUN,2019,0.962,3.76,0.481,51.0,3.34,0.15,0.61,0.396,0.37,0.332,0.59,2.09,0.257,1.43,4.0,
Cal Poly,2013,0.965,2.33,0.361,,3.23,0.09,0.17,0.304,0.19,,0.61,,0.25,0.7,,
Cal Poly,2014,0.971,4.13,0.635,,2.13,0.25,0.38,,0.13,,0.69,,0.288,0.92,,
Cal Poly,2015,0.968,2.93,0.4,,2.98,0.16,0.38,0.353,0.2,,0.25,,0.252,1.18,,
Cal Poly,2016,0.964,3.12,0.54,,2.43,0.2,0.18,0.356,0.32,,0.36,,0.272,1.18,,
Cal Poly,2017,0.964,3.47,0.644,,1.3,0.17,0.29,0.344,0.25,,0.22,,0.262,0.95,,
Cal Poly,2018,0.962,2.9,0.5,,3.36,0.2,0.2,0.324,0.3,,0.32,,0.245,0.98,,
Cal Poly,2019,0.948,2.27,0.216,23.0,4.3,0.04,0.31,0.294,0.43,0.281,0.31,0.94,0.215,0.98,1.0,
CSU Fullerton,2013,0.97,3.55,0.5,,3.0,0.25,0.43,0.374,0.32,,1.16,,0.263,1.04,,
CSU Fullerton,2014,0.968,5.51,0.609,,3.55,0.16,1.04,0.479,0.27,,0.73,,0.3,1.25,,
CSU Fullerton,2015,0.975,4.96,0.607,,3.68,0.21,0.46,0.428,0.39,,0.88,,0.312,1.27,,
CSU Fullerton,2016,0.97,5.13,0.738,,2.22,0.2,0.52,0.433,0.33,,1.39,,0.301,1.52,,
CSU Fullerton,2017,0.965,3.5,0.603,,2.67,0.09,0.45,0.354,0.22,,1.16,,0.267,0.84,,
CSU Fullerton,2018,0.968,4.27,0.583,,3.27,0.17,0.28,0.38,0.6,,1.4,,0.289,1.18,,
CSU Fullerton,2019,0.975,4.71,0.679,22.0,2.62,0.2,0.86,0.445,0.34,0.364,0.91,1.83,0.284,1.14,6.0,
California,2013,0.966,4.68,0.667,,2.5,0.14,1.12,0.438,0.28,,0.61,,0.267,0.88,,
California,2014,0.967,4.67,0.442,,5.38,0.1,0.85,,0.33,,0.54,,0.288,1.04,,
California,2015,0.968,5.96,0.684,,3.95,0.23,0.91,0.493,0.32,0.418,0.88,,0.332,1.07,,
California,2016,0.962,4.4,0.578,,2.98,0.26,0.5,0.403,0.29,,1.14,,0.301,0.78,,
California,2017,0.965,3.91,0.571,3.0,3.37,0.18,0.23,0.342,0.36,,0.98,,0.259,1.07,,
California,2018,0.964,4.86,0.625,9.0,2.41,0.32,0.5,0.401,0.32,,1.04,,0.27,1.38,,
California,2019,0.957,4.71,0.509,12.0,2.92,0.22,0.58,0.401,0.22,0.351,1.05,1.68,0.285,1.02,11.0,
Campbell,2013,0.96,5.37,0.65,,3.28,0.2,1.13,0.485,0.1,,1.97,,0.3,1.15,,
Campbell,2014,0.966,4.12,0.534,,2.91,0.1,0.86,,0.28,,1.22,,0.246,0.86,,6.12
Campbell,2015,0.952,4.49,0.509,,2.96,0.05,0.8,0.43,0.24,,1.38,,0.294,1.22,,
Campbell,2016,0.957,4.85,0.475,,4.54,0.08,0.95,0.456,0.41,,1.14,,0.295,1.25,,
Campbell,2017,0.972,5.19,0.5,,4.13,0.17,0.66,0.422,0.55,,1.62,,0.29,1.31,,
Campbell,2018,0.961,5.25,0.518,,4.22,0.05,1.2,0.469,0.32,,0.98,,0.27,1.46,,
Campbell,2019,0.949,4.94,0.481,34.0,4.24,0.2,0.74,0.436,0.2,0.378,0.94,1.63,0.286,1.37,5.0,
Canisius,2013,0.947,4.3,0.468,,3.28,0.3,0.26,0.39,0.28,,0.85,,0.287,1.43,,
Canisius,2014,0.95,3.33,0.375,,4.13,0.15,0.31,,0.38,,0.6,,0.266,1.02,,
Canisius,2015,0.971,5.51,0.578,,3.78,0.47,0.42,0.454,0.22,,1.49,,0.321,1.18,,
Canisius,2016,0.951,3.71,0.418,,3.77,0.2,0.45,0.394,0.29,,1.56,,0.276,1.27,,
Canisius,2017,0.945,3.79,0.396,,3.34,0.06,0.55,0.393,0.23,,1.08,,0.28,1.3,,
Canisius,2018,0.953,2.77,0.255,,4.6,0.15,0.36,0.308,0.3,,1.36,,0.222,0.77,,
Canisius,2019,0.947,3.78,0.311,29.0,4.67,0.16,0.4,0.364,0.24,0.324,1.89,0.98,0.263,1.13,2.0,
Central Ark.,2013,0.961,5.22,0.638,,2.71,0.14,0.64,0.444,0.16,,0.9,,0.3,1.74,,
Central Ark.,2014,0.947,4.42,0.424,,4.26,0.22,0.66,,0.17,,0.9,,0.266,1.51,,
Central Ark.,2015,0.966,5.25,0.625,12.0,3.31,0.14,0.68,0.427,0.21,,1.43,,0.274,1.61,,
Central Ark.,2016,0.964,4.07,0.614,,3.01,0.11,0.58,0.378,0.32,,0.86,,0.243,1.4,,
Central Ark.,2017,0.956,3.8,0.433,,3.06,0.17,0.32,0.321,0.42,,1.38,,0.23,1.02,,
Central Ark.,2018,0.962,4.3,0.518,,3.38,0.11,0.41,0.377,0.25,,1.68,,0.264,1.43,,
Central Ark.,2019,0.954,4.83,0.481,25.0,3.66,0.15,0.54,0.416,0.26,0.373,2.07,1.33,0.292,1.39,6.0,
Central Conn. State,2013,0.949,5.67,0.706,,2.22,0.12,1.04,0.497,0.1,,0.67,,0.315,1.41,,
Central Conn. State,2014,0.96,3.78,0.644,,1.53,0.16,0.47,,0.09,,0.6,,0.281,1.13,,6.94
Central Conn. State,2015,0.964,3.98,0.689,,1.93,0.11,0.42,0.35,0.22,,0.6,,0.259,0.96,,
Central Conn. State,2016,0.97,3.69,0.411,,4.21,0.16,0.44,0.378,0.53,,0.64,,0.26,1.47,,
Central Conn. State,2017,0.972,3.41,0.385,17.0,3.8,0.1,0.41,0.338,0.49,,0.87,,0.234,1.23,,
Central Conn. State,2018,0.968,3.82,0.388,,3.81,0.14,0.51,0.374,0.37,,0.96,,0.266,1.0,,
Central Conn. State,2019,0.961,4.73,0.415,27.0,4.49,0.12,0.71,0.412,0.27,0.349,1.2,1.06,0.273,1.51,2.0,
Central Mich.,2013,0.956,4.45,0.623,,2.71,0.26,0.58,0.414,0.3,,1.49,,0.285,1.15,,
Central Mich.,2014,0.964,4.02,0.607,,2.9,0.16,0.86,,0.25,,1.54,,0.255,1.48,,
Central Mich.,2015,0.958,3.98,0.54,,2.85,0.2,0.6,0.393,0.24,,1.42,,0.27,1.06,,
Central Mich.,2016,0.962,3.6,0.471,,3.29,0.12,0.62,0.41,0.21,,1.06,,0.282,1.23,,
Central Mich.,2017,0.965,4.5,0.712,15.0,1.91,0.23,0.33,0.389,0.37,,1.15,,0.288,1.27,,
Central Mich.,2018,0.965,3.79,0.458,,3.14,0.33,0.42,0.402,0.4,,1.1,,0.286,1.17,,
Central Mich.,2019,0.962,3.78,0.441,28.0,4.74,0.27,0.47,0.375,0.33,0.33,0.65,1.23,0.253,1.1,1.0,
Charleston So.,2013,0.936,3.89,0.273,,5.44,0.05,0.89,0.388,0.25,,0.56,,0.235,0.95,,
Charleston So.,2014,0.952,3.18,0.451,,2.68,0.08,0.39,,0.3,,0.77,,0.253,1.28,,
Charleston So.,2015,0.963,4.71,0.525,,3.88,0.08,1.05,0.442,0.25,,0.73,,0.267,0.98,,
Charleston So.,2016,0.966,4.04,0.393,,4.09,0.09,0.8,0.413,0.32,,1.23,,0.273,1.09,,
Charleston So.,2017,0.952,3.87,0.419,,3.84,0.06,1.05,0.425,0.23,,1.0,,0.251,1.06,,
Charleston So.,2018,0.954,4.89,0.464,,4.35,0.14,1.0,0.455,0.29,,1.7,,0.276,1.2,,
Charleston So.,2019,0.962,3.13,0.327,32.0,4.23,0.15,0.35,0.335,0.27,0.32,0.62,1.2,0.249,0.85,3.0,
Charlotte,2013,0.961,4.94,0.48,,4.04,0.14,0.62,0.429,0.12,,0.6,,0.298,1.48,,
Charlotte,2014,0.957,3.8,0.408,,4.12,0.16,0.63,,0.2,,0.2,,0.263,1.18,,
Charlotte,2015,0.963,4.02,0.471,15.0,3.31,0.24,0.71,0.404,0.25,,0.88,,0.256,1.31,,
Charlotte,2016,0.962,4.49,0.582,,2.92,0.18,0.33,0.387,0.18,,1.09,,0.294,1.11,,
Charlotte,2017,0.966,4.51,0.566,,3.92,0.17,0.58,0.43,0.11,,1.43,,0.3,1.25,,
Charlotte,2018,0.957,3.06,0.36,,3.68,0.12,0.28,0.361,0.3,,0.46,,0.272,1.28,,
Charlotte,2019,0.952,4.1,0.3,33.0,6.37,0.22,0.66,0.433,0.26,0.36,0.18,0.82,0.286,1.44,1.0,
Chattanooga,2013,0.95,4.34,0.491,,3.48,0.15,0.28,0.374,0.4,,0.58,,0.288,1.23,,
Chattanooga,2014,0.954,4.44,0.618,,1.97,0.05,0.56,,0.31,,0.47,,0.27,1.31,,
Chattanooga,2015,0.951,4.84,0.7,10.0,2.9,0.12,0.96,0.467,0.46,,0.12,,0.286,1.66,,
Chattanooga,2016,0.955,4.58,0.508,18.0,3.91,0.03,0.71,0.423,0.2,,0.17,,0.293,1.27,,
Chattanooga,2017,0.946,3.38,0.273,,5.1,0.09,0.49,0.397,0.35,,0.44,,0.283,1.16,,
Chattanooga,2018,0.954,3.86,0.464,,3.76,0.07,0.61,0.401,0.43,,0.25,,0.284,1.11,,
Chattanooga,2019,0.961,4.78,0.685,31.0,2.34,0.11,0.72,0.427,0.17,0.364,0.52,1.9,0.293,1.19,8.0,
Cleveland State,2013,0.936,3.98,0.449,,2.95,0.16,1.02,0.421,0.29,,0.98,,0.251,1.16,,
Cleveland State,2014,0.959,3.77,0.545,,2.92,0.11,0.66,,0.16,,0.73,,0.276,1.14,,
Cleveland State,2015,0.953,4.77,0.442,11.0,3.85,0.13,1.35,0.487,0.31,,0.46,,0.287,1.04,,
Cleveland State,2016,0.95,4.57,0.396,12.0,4.09,0.09,0.75,0.41,0.25,,0.58,,0.273,1.26,,
Cleveland State,2017,0.936,2.4,0.154,17.0,5.7,0.06,0.31,0.298,0.13,,0.52,,0.228,0.71,,
Cleveland State,2018,0.952,3.2,0.306,14.0,4.99,0.08,0.45,0.345,0.29,,0.88,,0.241,1.06,,
Cleveland State,2019,0.957,3.31,0.306,15.0,4.67,0.16,0.47,0.351,0.2,0.302,0.37,1.27,0.235,1.37,3.0,
Coastal Carolina,2013,,,0.627,,,,,,,,,,,,,
Coastal Carolina,2014,0.973,5.09,0.732,,1.61,0.09,1.09,,0.39,,1.57,,0.282,1.0,,
Coastal Carolina,2018,0.969,4.13,0.481,,3.83,0.11,1.39,0.459,0.2,,0.59,,0.241,1.0,,
Coastal Carolina,2019,0.971,4.38,0.65,45.0,3.2,0.1,1.45,0.476,0.2,0.345,0.63,1.86,0.246,1.12,10.0,
Coastal Carolina,2013,0.963,4.68,,,2.42,0.1,1.19,0.458,0.31,,1.31,,0.268,1.08,,
Coastal Carolina,2014,,,,,,,,,,,,,,,,6.57
Coastal Carolina,2015,0.968,5.61,0.579,,3.41,0.07,1.47,0.517,0.37,,1.12,,0.292,1.09,,
Coastal Carolina,2016,0.967,5.93,0.627,,3.99,0.12,1.41,0.531,0.31,0.412,1.05,,0.33,1.03,,
Coastal Carolina,2017,0.956,3.84,0.582,,2.81,0.07,0.69,0.397,0.15,,1.05,,0.26,1.02,,
Col. of Charleston,2013,0.962,4.28,0.649,,2.61,0.07,0.61,0.396,0.35,,0.77,,0.278,1.12,,
Col. of Charleston,2014,0.969,4.75,0.714,,2.2,0.23,0.38,,0.2,,1.07,,0.289,1.38,,
Col. of Charleston,2015,0.953,4.11,0.453,,4.07,0.25,0.49,0.399,0.11,,1.13,,0.278,1.09,,
Col. of Charleston,2016,0.973,4.14,0.603,,2.96,0.14,0.45,0.398,0.34,,1.21,,0.286,1.38,,
Col. of Charleston,2017,0.969,4.71,0.589,,3.26,0.16,0.59,0.431,0.48,,1.27,,0.303,1.36,,
Col. of Charleston,2018,0.96,4.83,0.534,,3.77,0.1,0.41,0.386,0.47,,0.91,,0.292,1.09,,
Col. of Charleston,2019,0.964,3.88,0.464,40.0,4.18,0.18,0.32,0.377,0.39,0.356,0.41,1.05,0.272,1.41,5.0,
Colgate,2013,0.941,3.13,0.333,,3.06,0.13,0.54,0.344,0.19,,0.79,,0.242,0.88,,
Colgate,2014,0.924,3.21,0.302,,4.54,0.12,0.51,,0.37,,0.67,,0.23,1.26,,
Colgate,2015,0.942,4.13,0.447,,3.47,0.18,0.79,0.411,0.18,,1.26,,0.261,1.16,,
Colgate,2016,0.945,2.41,0.293,,3.98,0.05,0.37,0.312,0.27,,0.68,,0.222,1.05,,
Colgate,2017,0.937,3.91,0.307,,5.35,0.18,0.66,0.417,0.34,,0.95,,0.273,1.36,,
Colgate,2018,0.953,2.77,0.256,,3.95,0.12,0.28,0.3,0.4,,0.37,,0.211,1.21,,
Colgate,2019,0.958,3.71,0.481,28.0,4.39,0.08,0.6,0.4,0.37,0.339,0.35,0.67,0.268,1.52,5.0,
Colorado State,2013,0.946,4.76,0.51,,3.53,0.33,0.71,0.428,0.27,,0.51,,0.275,1.2,,
Colorado State,2014,0.964,6.0,0.653,,3.51,0.27,0.84,0.485,0.24,0.408,0.65,,0.313,1.63,,
Colorado State,2015,0.942,4.89,0.482,,4.0,0.18,0.55,0.397,0.41,,1.07,,0.284,0.96,,
Colorado State,2016,0.953,5.67,0.478,18.0,4.57,0.2,0.87,0.468,0.43,,0.89,,0.297,1.72,,
Colorado State,2017,0.965,4.68,0.56,,3.49,0.22,0.7,0.403,0.5,,0.76,,0.266,1.1,,
Colorado State,2018,0.962,4.92,0.54,,3.82,0.3,0.58,0.435,0.46,,0.88,,0.295,1.52,,
Colorado State,2019,0.966,6.53,0.765,20.0,2.57,0.29,1.24,0.553,0.47,0.393,0.73,1.51,0.321,2.02,13.0,
Columbia,2013,0.952,3.75,0.458,,2.76,0.15,0.4,0.379,0.25,,0.88,,0.279,1.27,,
Columbia,2014,0.96,4.2,0.5,,4.8,0.11,0.64,,0.3,,0.55,,0.295,1.64,,
Columbia,2015,0.949,3.18,0.364,,3.66,0.07,0.36,0.333,0.18,,0.8,,0.243,1.11,,
Columbia,2016,0.961,3.29,0.333,17.0,4.75,0.13,0.69,0.393,0.21,,0.44,,0.261,1.19,,
Columbia,2017,0.95,4.27,0.417,,4.34,0.13,0.77,0.429,0.15,,0.42,,0.276,1.44,,
Columbia,2018,0.949,6.1,0.525,,4.05,0.3,1.2,0.506,0.33,,0.7,,0.303,1.55,,
Columbia,2019,0.959,4.76,0.533,33.0,4.02,0.31,0.71,0.432,0.33,0.36,0.58,1.15,0.278,1.11,5.0,
Coppin State,2013,0.924,4.63,0.419,,5.08,0.21,0.35,0.359,0.21,,1.0,,0.255,1.19,,
Coppin State,2014,0.938,4.0,0.325,,5.7,0.25,0.48,,0.35,,1.15,,0.257,1.1,,
Coppin State,2015,0.929,3.22,0.139,,9.91,0.17,0.36,0.328,0.42,,0.64,,0.22,0.97,,
Coppin State,2016,0.936,3.81,0.139,,9.36,0.25,0.31,0.391,0.47,,0.81,,0.286,1.22,,
Coppin State,2017,0.942,3.44,0.192,,7.0,0.06,0.23,0.33,0.29,,0.52,,0.258,1.0,,
Coppin State,2018,0.943,4.0,0.35,16.0,5.61,0.1,0.53,0.372,0.13,,0.5,,0.265,1.08,,
Coppin State,2019,0.941,2.37,0.22,16.0,6.23,0.07,0.17,0.28,0.34,0.299,0.41,1.03,0.214,0.88,,
Cornell,2013,0.963,4.34,0.42,,4.47,0.04,0.84,0.44,0.28,,0.5,,0.289,1.82,,
Cornell,2014,0.963,4.07,0.409,,4.58,0.02,0.66,,0.11,,0.2,,0.269,1.32,,
Cornell,2015,0.953,5.22,0.415,,5.21,0.05,0.49,0.444,0.29,,0.44,,0.318,2.0,,
Cornell,2016,0.945,4.0,0.22,,7.37,0.02,0.71,0.429,0.12,,0.1,,0.284,1.66,,
Cornell,2017,0.968,3.98,0.321,,5.4,0.12,0.57,0.41,0.1,,0.21,,0.282,1.62,,
Cornell,2018,0.963,3.9,0.375,,5.12,0.13,0.4,0.396,0.23,,0.03,,0.285,1.58,,
Cornell,2019,0.951,3.3,0.217,24.0,7.69,0.04,0.67,0.397,0.33,0.327,0.22,0.69,0.255,1.39,,
Creighton,2013,0.954,4.3,0.617,,2.38,0.11,1.02,0.434,0.21,,0.62,,0.261,1.19,,
Creighton,2014,0.959,3.55,0.547,,2.59,0.06,0.79,,0.25,,0.75,,0.231,0.83,,7.07
Creighton,2015,0.961,4.33,0.512,,3.63,0.16,0.81,0.405,0.21,,0.7,,0.27,0.72,,
Creighton,2016,0.961,4.02,0.532,,3.5,0.15,0.47,0.356,0.26,,0.91,,0.255,0.79,,
Creighton,2017,0.949,3.92,0.36,,4.92,0.12,0.52,0.365,0.24,,0.44,,0.259,0.92,,
Creighton,2018,0.956,5.81,0.651,,3.34,0.14,0.86,0.477,0.21,0.409,0.49,,0.316,1.33,,
Creighton,2019,0.952,4.8,0.455,33.0,3.84,0.14,0.89,0.43,0.43,0.378,0.66,1.37,0.279,0.98,5.0,
Dartmouth,2013,0.966,4.78,0.565,,3.21,0.35,0.72,0.437,0.22,,0.3,,0.292,1.28,,
Dartmouth,2014,0.972,4.38,0.62,,2.65,0.06,0.78,,0.2,,0.46,,0.286,1.48,,7.1
Dartmouth,2015,0.969,4.51,0.581,14.0,2.83,0.12,0.88,0.433,0.26,,0.72,,0.281,1.26,,
Dartmouth,2016,0.965,4.95,0.643,,2.97,0.38,0.62,0.432,0.33,,0.71,,0.279,1.55,,
Dartmouth,2017,0.956,3.75,0.288,,6.0,0.23,0.6,0.402,0.18,,0.9,,0.281,0.95,,
Dartmouth,2018,0.956,3.83,0.55,16.0,3.29,0.13,0.75,0.405,0.13,,0.45,,0.251,1.38,,
Dartmouth,2019,0.952,4.45,0.325,33.0,5.48,0.35,0.65,0.423,0.28,0.347,1.35,0.89,0.285,1.03,3.0,
Dayton,2013,0.958,4.28,0.478,,3.63,0.13,0.89,0.406,0.09,,0.72,,0.253,1.09,,
Dayton,2014,0.953,5.02,0.482,,4.07,0.07,0.95,,0.2,,0.84,,0.289,1.59,,
Dayton,2015,0.965,4.85,0.736,,2.31,0.11,0.57,0.42,0.21,,0.66,,0.291,1.47,,
Dayton,2016,0.963,2.63,0.561,,1.96,0.06,0.27,0.308,0.16,,0.78,,0.232,1.04,,
Dayton,2017,0.954,4.52,0.518,,3.23,0.11,0.36,0.412,0.21,,1.2,,0.3,1.71,,
Dayton,2018,0.963,3.91,0.554,,2.85,0.14,0.36,0.377,0.16,,1.13,,0.273,1.34,,
Dayton,2019,0.95,4.55,0.471,47.0,4.78,0.08,0.73,0.423,0.08,0.331,1.47,1.19,0.28,1.41,5.0,
DePaul,2013,0.956,4.87,0.604,,2.63,0.11,0.83,0.441,0.26,,0.92,,0.3,1.15,,
DePaul,2014,0.96,5.65,0.8,,2.09,0.25,0.84,0.481,0.24,,0.96,,0.306,1.64,,7.89
DePaul,2015,0.954,5.33,0.478,,4.98,0.11,1.26,0.498,0.37,,0.7,,0.292,1.41,,
DePaul,2016,0.966,4.73,0.519,15.0,4.95,0.13,0.79,0.434,0.27,,0.79,,0.285,1.19,,
DePaul,2017,0.958,4.75,0.558,14.0,3.65,0.15,0.85,0.432,0.1,,0.71,,0.273,1.37,,
DePaul,2018,0.972,4.62,0.673,,2.27,0.12,0.75,0.422,0.21,,1.0,,0.279,1.33,,
DePaul,2019,0.968,4.9,0.686,28.0,3.29,0.1,0.88,0.451,0.24,0.367,0.61,1.88,0.279,1.63,7.0,
Delaware,2013,0.954,4.14,0.614,,2.79,0.26,0.35,0.394,0.33,,1.07,,0.286,1.26,,
Delaware,2014,0.956,3.54,0.479,,3.7,0.19,0.31,,0.17,,1.33,,0.267,0.98,,
Delaware,2015,0.947,4.98,0.566,,3.21,0.38,0.74,0.475,0.23,,1.26,,0.304,1.55,,
Delaware,2016,0.956,5.0,0.588,,3.23,0.24,0.65,0.424,0.35,,1.98,,0.292,1.12,,
Delaware,2017,0.944,4.34,0.453,,4.57,0.19,0.55,0.41,0.25,,1.21,,0.292,1.13,,
Delaware,2018,0.933,3.39,0.367,,4.94,0.12,0.43,0.358,0.39,,0.98,,0.248,1.24,,
Delaware,2019,0.952,4.24,0.431,20.0,4.4,0.27,0.53,0.388,0.35,0.343,1.78,1.4,0.261,1.2,4.0,
Delaware State,2013,0.942,4.83,0.37,,4.38,0.19,0.31,0.399,0.24,,0.74,,0.304,1.2,,
Delaware State,2014,0.957,5.19,0.673,,2.12,0.13,0.52,,0.27,,0.71,,0.321,1.42,,
Delaware State,2015,0.959,5.89,0.477,,5.77,0.18,0.64,0.452,0.09,,1.23,,0.315,1.45,,
Delaware State,2016,0.948,6.56,0.625,,3.52,0.21,0.81,0.487,0.31,,1.21,,0.331,1.63,,
Delaware State,2017,0.946,3.33,0.396,,4.43,0.04,0.4,0.365,0.25,,0.19,,0.266,1.27,,
Delaware State,2018,0.945,3.85,0.25,,5.77,0.15,0.44,0.37,0.42,,0.65,,0.262,1.17,,
Delaware State,2019,0.951,3.38,0.238,20.0,5.51,0.24,0.14,0.324,0.38,0.302,0.95,0.87,0.253,0.9,2.0,
Detroit Mercy,2013,0.932,2.6,0.1,,7.08,0.02,0.36,0.315,0.18,,0.5,,0.225,1.08,,
Detroit Mercy,2014,0.95,2.71,0.143,,7.07,0.08,0.43,,0.2,,0.73,,0.237,0.94,,
Detroit Mercy,2015,0.942,3.92,0.2,,5.99,0.08,0.74,0.391,0.14,,1.68,,0.258,0.94,,
Detroit Mercy,2016,0.957,3.14,0.304,,5.01,0.18,0.3,0.323,0.29,,1.25,,0.246,0.66,,
Detroit Mercy,2017,0.947,3.52,0.346,,4.13,0.13,0.35,0.348,0.42,,1.13,,0.259,1.0,,
Detroit Mercy,2018,0.939,3.64,0.33,,5.06,0.05,0.41,0.352,0.32,,1.5,,0.248,1.34,,
Detroit Mercy,2019,0.956,3.34,0.525,31.0,2.95,0.17,0.47,0.361,0.32,0.305,1.39,1.81,0.248,1.14,13.0,
Drake,2013,0.96,4.57,0.592,,2.94,0.12,0.82,0.428,0.16,,1.73,,0.285,1.2,,
Drake,2014,0.956,3.65,0.365,,4.67,0.06,0.62,,0.15,,0.98,,0.243,1.12,,
Drake,2015,0.957,4.11,0.604,,2.41,0.13,0.85,0.421,0.15,,0.77,,0.259,1.36,,
Drake,2016,0.952,4.93,0.556,,4.1,0.07,0.7,0.422,0.07,,0.98,,0.279,1.5,,
Drake,2017,0.949,3.38,0.509,,3.75,0.11,0.44,0.351,0.31,,1.42,,0.249,0.98,,
Drake,2018,0.972,4.25,0.789,,1.27,0.11,0.39,0.384,0.21,,1.61,,0.282,1.26,,
Drake,2019,0.973,5.19,0.729,22.0,1.96,0.14,0.39,0.387,0.14,0.389,1.61,4.31,0.28,1.22,22.0,
Drexel,2013,0.947,2.5,0.28,,4.35,0.04,0.16,0.26,0.18,,0.42,,0.206,0.84,,
Drexel,2014,0.948,3.55,0.386,,3.83,0.09,0.32,,0.18,,0.77,,0.243,0.93,,
Drexel,2015,0.945,4.29,0.452,12.0,3.51,0.12,0.52,0.41,0.19,,0.52,,0.296,1.29,,
Drexel,2016,0.938,3.71,0.364,,5.12,0.04,0.18,0.324,0.22,,0.67,,0.265,0.91,,
Drexel,2017,0.958,4.14,0.388,,5.04,0.1,0.51,0.385,0.27,,0.84,,0.27,1.31,,
Drexel,2018,0.951,5.87,0.423,,5.17,0.06,0.85,0.464,0.19,0.389,0.42,,0.314,1.48,,
Drexel,2019,0.957,6.33,0.542,24.0,4.34,0.1,1.12,0.503,0.27,0.399,0.77,1.08,0.32,1.63,6.0,
Duke,2018,0.958,3.68,0.518,,2.05,0.16,0.36,0.365,0.18,,0.68,,0.265,1.3,,
Duke,2019,0.973,3.7,0.446,30.0,3.47,0.34,0.43,0.378,0.25,0.324,1.23,1.71,0.257,1.21,3.0,
ETSU,2013,0.954,3.0,0.277,,4.17,0.06,0.47,0.344,0.21,,0.49,,0.251,1.0,,
ETSU,2014,0.949,3.85,0.385,,5.15,0.13,0.85,,0.31,,0.6,,0.25,0.96,,
ETSU,2015,0.949,4.42,0.313,,5.43,0.08,0.88,0.408,0.31,,0.79,,0.268,1.02,,
ETSU,2016,0.958,3.98,0.476,15.0,3.93,0.07,1.14,0.447,0.36,,0.26,,0.272,1.12,,
ETSU,2017,0.964,4.4,0.527,,3.53,0.13,0.64,0.422,0.13,,0.11,,0.285,1.45,,
ETSU,2018,0.967,3.63,0.413,11.0,3.7,0.02,0.57,0.359,0.22,,0.93,,0.254,1.02,,
ETSU,2019,0.974,4.35,0.451,22.0,4.68,0.12,0.61,0.375,0.22,0.346,0.98,0.91,0.263,0.92,4.0,
East Carolina,2013,0.965,3.81,0.404,,3.5,0.27,0.58,0.389,0.33,,0.85,,0.257,1.1,,
East Carolina,2014,0.961,5.29,0.583,,3.6,0.21,0.92,,0.17,,1.94,,0.302,1.1,,
East Carolina,2015,0.953,3.47,0.302,,4.32,0.19,0.53,0.345,0.3,,0.45,,0.236,0.87,,
East Carolina,2016,0.958,3.22,0.426,,4.16,0.15,0.61,0.387,0.17,,0.39,,0.261,1.19,,
East Carolina,2017,0.97,4.55,0.464,,4.32,0.04,1.14,0.433,0.14,,0.34,,0.249,1.14,,
East Carolina,2018,0.961,3.13,0.418,,3.48,0.04,0.69,0.355,0.2,,0.64,,0.24,0.82,,
East Carolina,2019,0.963,3.98,0.426,35.0,4.09,0.11,0.52,0.355,0.31,0.341,0.89,1.17,0.249,0.98,4.0,
Eastern Ill.,2013,0.97,4.44,0.72,,1.59,0.2,0.48,0.402,0.12,,0.7,,0.277,1.42,,
Eastern Ill.,2014,0.962,4.29,0.691,,2.28,0.29,0.58,,0.2,,1.31,,0.272,1.13,,6.39
Eastern Ill.,2015,0.957,4.0,0.438,,4.4,0.1,0.69,0.416,0.35,,0.79,,0.277,1.35,,
Eastern Ill.,2016,0.966,3.62,0.472,,3.64,0.15,0.53,0.361,0.28,,1.51,,0.25,0.92,,
Eastern Ill.,2017,0.959,4.18,0.571,,2.58,0.14,0.49,0.373,0.22,,1.39,,0.272,0.92,,
Eastern Ill.,2018,0.965,4.68,0.643,,3.01,0.13,0.57,0.403,0.29,,1.13,,0.282,1.45,,
Eastern Ill.,2019,0.946,3.85,0.291,59.0,4.61,0.09,0.6,0.384,0.25,0.326,1.0,0.94,0.26,1.35,4.0,
Eastern Ky.,2013,0.96,4.84,0.643,,2.9,0.11,0.77,0.429,0.14,,1.61,,0.288,1.32,,
Eastern Ky.,2014,0.968,3.59,0.569,,2.4,0.04,0.57,,0.16,,0.84,,0.257,1.12,,8.36
Eastern Ky.,2015,0.961,4.37,0.462,,4.09,0.15,0.9,0.429,0.21,,0.85,,0.27,1.21,,
